State,Abbr,Year Admitted,1790_TotalPopulation,1800_TotalPopulation,1810_TotalPopulation,1820_TotalPopulation,1830_TotalPopulation,1840_TotalPopulation,1850_TotalPopulation,1860_TotalPopulation,1790_EnslavedPopulation,1800_EnslavedPopulation,1810_EnslavedPopulation,1820_EnslavedPopulation,1830_EnslavedPopulation,1840_EnslavedPopulation,1850_EnslavedPopulation,1860_EnslavedPopulation,1870_TotalPopulation,1880_TotalPopulation,1890_TotalPopulation,1900_TotalPopulation,1910_TotalPopulation,1920_TotalPopulation,1930_TotalPopulation,1940_TotalPopulation,1950_TotalPopulation,1960_TotalPopulation,1970_TotalPopulation,1980_TotalPopulation,1990_TotalPopulation,2000_TotalPopulation,2010_TotalPopulation,2018_TotalPopulation,2020_TotalPopulation,density
Maine,ME,1820,"96,540","151,719","228,705","298,335","399,455","501,793","583,169","628,279",0,0,0,0,2,0,0,0,"626,915","648,936","661,086","694,466","742,371","768,014","797,423","847,226","913,774","969,265","992,048","1,124,660","1,227,928","1,274,923","1,328,361","1,354,520.00",1362359,43.9166
Maryland,MD,1788,"319,728","341,548","380,546","407,350","447,040","470,019","583,034","687,049","103,036","105,635","111,502","107,398","102,994","89,737","90,368","87,189","780,894","934,943","1,042,390","1,188,044","1,295,346","1,449,661","1,631,526","1,821,244","2,343,001","3,100,689","3,922,399","4,216,975","4,781,468","5,296,486","5,773,552","6,065,440.00",6177224,624.8522
Massachusetts,MA,1788,"378,787","422,845","472,040","523,287","610,408","737,699","994,514","1,231,066",0,0,0,0,1,0,0,0,"1,457,351","1,783,085","2,238,943","2,805,346","3,366,416","3,852,356","4,249,614","4,316,721","4,690,514","5,148,578","5,689,170","5,737,037","6,016,425","6,349,097","6,547,629","6,912,240.00",7029917,886.1846
Michigan,MI,1837,,"3,757","4,762","7,452","28,004","212,267","397,654","749,113",,0,24,0,1,0,0,0,"1,184,059","1,636,937","2,093,889","2,420,982","2,810,173","3,668,412","4,842,325","5,256,106","6,371,766","7,823,194","8,875,083","9,262,078","9,295,297","9,938,444","9,883,640","9,992,430.00",10077331,176.7352
Minnesota,MN,1858,,,,,,,"6,077","172,023",,,,,,,0,0,"439,706","780,773","1,310,283","1,751,394","2,075,708","2,387,125","2,563,953","2,792,300","2,982,483","3,413,864","3,804,971","4,075,970","4,375,099","4,919,479","5,303,925","5,706,400.00",5706494,71.6641
Mississippi,MS,1817,,"7,600","31,306","75,448","136,621","375,651","606,526","791,305",,"2,995","14,523","32,814","65,659","195,211","309,878","436,631","827,922","1,131,597","1,289,600","1,551,270","1,797,114","1,790,618","2,009,821","2,183,796","2,178,914","2,178,141","2,216,912","2,520,638","2,573,216","2,844,658","2,967,297","2,966,410.00",2961279,63.2187
Missouri,MO,1821,,,"19,783","66,586","140,455","383,702","682,044","1,182,012",,,"2,875","10,222","25,091","58,240","87,422","114,931","1,721,295","2,168,380","2,679,184","3,106,665","3,293,335","3,404,055","3,629,367","3,784,664","3,954,653","4,319,813","4,676,501","4,916,686","5,117,073","5,595,211","5,988,927","6,169,040.00",6154913,89.7419
Montana,MT,1889,,,,,,,,,,,,,,,,,"20,595","39,159","142,924","243,329","376,053","548,889","537,606","559,456","591,024","674,767","694,409","786,690","799,065","902,195","989,415","1,085,000.00",1084225,7.4547
Nebraska,NE,1867,,,,,,,,"28,841",,,,,,,,15,"122,993","452,402","1,062,656","1,066,300","1,192,214","1,296,372","1,377,963","1,315,834","1,325,510","1,411,330","1,483,493","1,569,825","1,578,385","1,711,263","1,826,341","1,952,000.00",1961504,25.4087
Nevada,NV,1864,,,,,,,,"6,857",,,,,,,,0,"42,491","62,266","47,355","42,335","81,875","77,407","91,058","110,247","160,083","285,278","488,738","800,493","1,201,833","1,998,257","2,700,551","3,185,790.00",3104614,29.0195
